City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Sinjar,IQ,2022-08-26 23:17:05,36.3209,41.8754,82.58,26,0,9.53
127,Olawa,PL,2022-08-26 23:17:05,50.9466,17.2926,69.64,57,7,6.22
128,Ausa,ES,2022-08-26 23:17:06,41.9271,2.2497,72.37,87,99,1.99
129,Yar-Sale,RU,2022-08-26 23:17:06,66.8333,70.8333,42.3,77,100,9.01
130,Deputatskiy,RU,2022-08-26 23:17:07,69.3,139.9,46.71,61,96,4.25
131,Lagoa,PT,2022-08-26 23:17:07,39.05,-27.9833,72.48,76,99,7.14
132,Hilo,US,2022-08-26 23:13:44,19.7297,-155.09,87.28,77,75,10.36
133,Saint George,US,2022-08-26 23:15:58,37.1041,-113.5841,97.95,23,0,11.5
134,Gamboma,CG,2022-08-26 23:17:09,-1.8764,15.8644,75.15,74,44,2.53
135,Galesong,ID,2022-08-26 23:17:09,-5.3166,119.3661,75.22,79,24,8.43
136,Zanjan,IR,2022-08-26 23:17:09,36.6736,48.4787,63.25,44,0,4.76
137,Cidreira,BR,2022-08-26 23:17:10,-30.1811,-50.2056,62.02,90,58,6.89
138,Isangel,VU,2022-08-26 23:18:10,-19.55,169.2667,80.71,78,20,5.75
139,Santiago,CL,2022-08-26 23:13:21,-33.4569,-70.6483,60.85,69,100,4.61
140,San Luis,AR,2022-08-26 23:18:11,-33.295,-66.3356,64.96,45,98,5.82
141,Vanimo,PG,2022-08-26 23:18:12,-2.6741,141.3028,80.67,79,61,6.82
142,Luanda,AO,2022-08-26 23:14:16,-8.8368,13.2343,67.42,93,10,8.52
143,Rocha,UY,2022-08-26 23:18:12,-34.4833,-54.3333,63.52,91,28,6.04
144,Cocobeach,GA,2022-08-26 23:18:13,1.0002,9.5823,75.54,82,32,9.82
145,Ponta Do Sol,PT,2022-08-26 23:18:13,32.6667,-17.1,72.01,58,28,6.46
146,Adrar,MR,2022-08-26 23:18:14,20.5022,-10.0711,89.19,41,36,14.32
147,Mahebourg,MU,2022-08-26 23:18:14,-20.4081,57.7,69.26,77,75,17.27
148,Nipawin,CA,2022-08-26 23:18:15,53.3668,-104.0009,82.44,34,0,11.5
149,Doha,QA,2022-08-26 23:14:26,25.2867,51.5333,88.11,66,32,7.02
150,Muros,ES,2022-08-26 23:18:16,42.7762,-9.0603,70.09,76,97,13.11
151,Half Moon Bay,US,2022-08-26 23:18:16,37.4636,-122.4286,90.57,74,100,12.66
152,Beira,MZ,2022-08-26 23:18:17,-19.8436,34.8389,70.92,88,0,8.32
153,Meulaboh,ID,2022-08-26 23:18:17,4.1363,96.1285,75.81,82,100,4.43
154,Nome,US,2022-08-26 23:18:18,64.5011,-165.4064,51.17,93,100,9.22
155,Lasa,IT,2022-08-26 23:18:19,46.6166,10.7002,65.28,87,98,0.63
156,Ambon,ID,2022-08-26 23:18:19,-3.6954,128.1814,78.94,89,75,5.75
157,Halifax,CA,2022-08-26 23:15:04,44.6453,-63.5724,71.47,90,41,11.01
158,Tasiilaq,GL,2022-08-26 23:18:20,65.6145,-37.6368,37.56,78,100,3.94
159,Saskylakh,RU,2022-08-26 23:18:20,71.9167,114.0833,48.16,95,100,8.63
160,Fairbanks,US,2022-08-26 23:18:21,64.8378,-147.7164,66.22,57,75,1.01
161,Itoman,JP,2022-08-26 23:18:21,26.1247,127.6694,82.42,81,75,8.05
162,Ostrovnoy,RU,2022-08-26 23:18:22,68.0531,39.5131,55.8,77,50,19.17
163,Busselton,AU,2022-08-26 23:18:22,-33.65,115.3333,54.63,72,72,16.06
164,Broome,US,2022-08-26 23:18:23,42.2506,-75.833,75.97,79,99,1.99
165,Nata,PA,2022-08-26 23:18:23,8.3333,-80.5167,80.47,85,97,3.98
166,Alofi,NU,2022-08-26 23:18:24,-19.0595,-169.9187,78.69,61,3,14.97
167,Ruwi,OM,2022-08-26 23:18:24,23.5996,58.5507,82.09,70,0,5.39
168,Darnah,LY,2022-08-26 23:18:25,32.767,22.6367,78.69,72,0,2.13
169,Tiksi,RU,2022-08-26 23:18:26,71.6872,128.8694,47.08,78,71,5.48
170,Thompson,CA,2022-08-26 23:15:45,55.7435,-97.8558,75.36,69,0,6.91
171,Horsham,GB,2022-08-26 23:17:49,51.064,-0.3272,64.67,81,0,1.14
172,Barcelos,PT,2022-08-26 23:18:27,41.5388,-8.6151,72.84,79,35,3.69
173,Kaitangata,NZ,2022-08-26 23:18:28,-46.2817,169.8464,47.34,80,100,6.6
