City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Lakatoro,VU,79.52,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
Pathein,MM,78.89,overcast clouds,16.7833,94.7333,Pathein Hotel
Angoche,MZ,72.0,clear sky,-16.2325,39.9086,Guest House HESADA
Nantucket,US,73.0,clear sky,41.2835,-70.0995,Jared Coffin House
Ponnani,IN,74.52,broken clouds,10.767,75.9252,Rouba Residency
Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Kato Mazarakion,GR,77.36,clear sky,38.0667,21.65,
Vanimo,PG,77.34,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
Papetoai,PF,81.99,light rain,-17.4961,-149.8729,Fare Vaihere
Buba,GW,75.81,broken clouds,11.5833,-15.0,Pousada Bela Vista
Kismayo,SO,75.11,clear sky,-0.3582,42.5454,Agan-Hotel
San Policarpo,PH,79.59,overcast clouds,12.1791,125.5072,Agapita M. Nicart
Lusambo,CD,74.28,clear sky,-4.9667,23.45,
Sarakhs,IR,79.05,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
Makarska,HR,73.4,few clouds,43.2969,17.0178,Hotel Park Makarska
Xinyang,CN,73.45,broken clouds,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
Fukue,JP,79.09,heavy intensity rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
Suleja,NG,77.99,light rain,9.1758,7.1808,Capy Motel
Dawei,MM,75.33,overcast clouds,14.0833,98.2,Hotel Dawei
Abu Zabad,SD,78.42,scattered clouds,12.35,29.25,حامد محمد نور
Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
Yacuiba,BO,75.34,clear sky,-22.038,-63.6797,Hotel Monumental
Mondovi,IT,70.79,clear sky,44.396,7.8176,Park Hotel
Forlimpopoli,IT,75.65,clear sky,44.1911,12.1287,Hotel Paradise Airport
Dingle,PH,75.47,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
Astara,AZ,71.58,moderate rain,38.5,48.6667,
Pak Phanang,TH,79.48,overcast clouds,8.3511,100.202,Green Park Inn Hotel
Cam Ranh,VN,80.56,moderate rain,11.9214,109.1591,OYO 598 Peony Hotel
Faanui,PF,78.33,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
Huercal-Overa,ES,80.24,overcast clouds,37.389,-1.9454,Casa Rural Aloe Vera
Sangueya,GN,76.57,overcast clouds,10.7,-14.3667,
Ishigaki,JP,80.73,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
Davila,PH,76.98,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
Mount Pleasant,US,83.07,broken clouds,32.7941,-79.8626,Best Western Patriots Point
Gohpur,IN,75.06,overcast clouds,26.8833,93.6333,Murchana Music
Samarinda,ID,71.26,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
Kirakira,SB,80.74,few clouds,-10.4544,161.9205,SanBiz Lodge
Warwick,US,71.89,moderate rain,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
Maniwaki,CA,70.18,clear sky,46.3834,-75.966,Centre Chateau Logue
Finschhafen,PG,79.36,scattered clouds,-6.6024,147.8681,Oasis Gagidu Ltd
Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
Kenora,CA,74.37,scattered clouds,49.8167,-94.4337,Maynard Lake Lodge
Xiongzhou,CN,71.62,scattered clouds,25.1167,114.3,Xinhewan Business Hotel
Sarkand,KZ,70.05,clear sky,45.41,79.9186,Гостиница Сарканд
Nioro,GM,76.69,overcast clouds,13.35,-15.75,
Gulabpura,IN,79.41,overcast clouds,25.9,74.6667,Hotel N chandra
Buraydah,SA,84.65,clear sky,26.326,43.975,Mövenpick Qassim
Karpathos,GR,76.96,clear sky,35.507,27.2132,Alex
Fortuna,US,73.09,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
Hirado,JP,75.38,moderate rain,33.3597,129.5531,Samson Hotel
Belmonte,BR,72.37,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
Kuala Lumpur,MY,78.35,few clouds,3.1431,101.6865,Swiss Garden Hotel - Bukit Bintang
Mayumba,GA,74.35,overcast clouds,-3.432,10.6554,LIKWALE LODGE
Takaungu,KE,73.8,clear sky,-3.6837,39.8566,Takaungu House
Phangnga,TH,75.24,moderate rain,8.4509,98.5298,Sunimit Mansion
Birao,CF,71.56,light rain,10.2849,22.7882,
Moose Factory,CA,75.2,clear sky,51.2585,-80.6094,Moosonee Lilypad
Moyale,KE,74.25,broken clouds,3.5167,39.0584,La Tahzan Guest House
Invermere,CA,76.35,scattered clouds,50.5167,-116.0354,Copper Point Resort
Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
Broome,US,71.85,light rain,42.2506,-75.833,Chenango Valley State Park
Gilgit,PK,76.53,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
Wattegama,LK,75.25,overcast clouds,6.7989,81.4808,
Dicabisagan,PH,79.72,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
Kontagora,NG,75.16,broken clouds,10.3999,5.4695,Queens Guest Inn
Yuli,NG,73.33,heavy intensity rain,9.6989,10.2744,
Noumea,NC,72.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
Pekan,MY,78.91,light rain,3.4836,103.3996,Pekan Budget Hotel
Taylor,US,81.86,clear sky,32.3001,-99.8337,Elm Creek Bed & Breakfast
Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
Teguise,ES,71.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
Iracoubo,GF,81.72,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
Harper,LR,75.81,light rain,4.375,-7.7169,Screensaver
Tsuruga,JP,78.64,overcast clouds,35.6455,136.0558,New Sunpia Tsuruga
Aksu,CN,72.3,few clouds,41.1231,80.2644,Pudong Holiday Hotel
Nakamura,JP,80.1,light rain,32.9833,132.9333,Hotel Crown Hills Nakamura
Catamarca,AR,79.07,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
Warri,NG,75.63,overcast clouds,5.5167,5.75,GT Guesthouse
Mandal,IN,78.91,overcast clouds,25.45,74.5667,Surpanch saab ki vatika
Northfield,US,78.71,broken clouds,44.4583,-93.1616,"Country Inn & Suites by Radisson, Northfield, MN"
Mount Vernon,US,83.34,broken clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
Malindi,KE,74.32,few clouds,-3.2175,40.1191,African House Resort
Caruray,PH,78.75,overcast clouds,10.3094,119.0128,
Lumberton,US,80.82,heavy intensity rain,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
Kieta,PG,80.01,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
Anderson,US,82.69,broken clouds,34.5334,-82.6499,The Bleckley Inn
Epe,NG,74.43,scattered clouds,6.5841,3.9834,MAGVILLE HOTEL
Sangre Grande,TT,83.05,overcast clouds,10.5835,-61.1177,Lotus drive
Waingapu,ID,75.29,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
Canavieiras,BR,71.42,broken clouds,-15.675,-38.9472,Bahiadomizil
Bangkalan,ID,76.95,broken clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
Mubi,NG,70.88,scattered clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
Constantine,DZ,78.21,scattered clouds,36.365,6.6147,Grand Hotel Cirta
Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
Kesabpur,BD,79.74,overcast clouds,22.9167,89.2167,Hospital Para
Biltine,TD,77.04,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
Ati,TD,79.95,broken clouds,13.2154,18.3353,
Kerema,PG,76.93,moderate rain,-7.9631,145.7785,Frena Lodge
Roura,GF,82.31,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
Misratah,LY,82.15,clear sky,32.3754,15.0925,Almasa Hotel
Tanauan,PH,78.94,overcast clouds,14.0863,121.1498,Plumeria Hotel Batangas
Sinnamary,GF,80.6,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
Nagaur,IN,80.4,clear sky,27.2,73.7333,Ranvas Nagaur
Zaragoza,ES,81.01,thunderstorm,41.6561,-0.8773,Hotel Goya
Grand Forks,US,80.53,few clouds,47.9417,-97.4337,Warrior Inn
Eravur,LK,76.62,moderate rain,7.7733,81.6095,Farhan KING House
Kawalu,ID,72.57,moderate rain,-7.3817,108.2082,West Jontor
Mutsu,JP,72.41,overcast clouds,41.2894,141.2169,Mutsu Park Hotel
Cartagena,CO,83.89,overcast clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
Aldama,MX,83.37,overcast clouds,22.9167,-98.0667,CASA CANYE
Karaton,ID,72.81,heavy intensity rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
